JUDGMENT_GOOD73794.1748046875,102.64584978242056,NOTE_6,
JUDGMENT_COOL74310.77099609375,-38.950341623829445,NOTE_6,
JUDGMENT_GOOD74710.36694335938,-63.546288889454445,NOTE_3,
JUDGMENT_COOL74878.19213867188,-43.871484201954445,NOTE_2,
JUDGMENT_GOOD75111.18798828125,-89.36733381132944,NOTE_5,
JUDGMENT_GOOD75278.9931640625,-69.67250959257944,NOTE_3,
JUDGMENT_COOL75446.48388671875,-49.663232248829445,NOTE_5,
JUDGMENT_GOOD75660.85009765625,-76.52944318632944,NOTE_3,
JUDGMENT_GOOD75862.91284179688,-91.09218732695444,NOTE_5,
JUDGMENT_GOOD76028.673828125,118.14682634492056,NOTE_3,
